,city,date,weather,mood,photos
0,Paris,2024-03-15,sunny,happy,150
10,Paris,2024-03-20,cloudy,excited,130
1,Lyon,2024-04-10,cloudy,curious,80
11,Lyon,2024-04-15,sunny,joyful,95
2,Marseille,2024-05-05,unknown,sad,25
12,Marseille,2024-05-10,sunny,relaxed,75
3,Bordeaux,2024-06-20,sunny,excited,200
13,Bordeaux,2024-06-25,rainy,thoughtful,30
4,Nice,2024-07-12,sunny,relaxed,180
14,Nice,2024-07-20,rainy,sad,40
5,Strasbourg,2024-08-30,rainy,thoughtful,20
15,Strasbourg,2024-09-05,cloudy,happy,55
6,Toulouse,2024-09-15,cloudy,happy,90
16,Toulouse,2024-09-20,sunny,curious,85
7,Nantes,2024-10-05,unknown,calm,70
17,Nantes,2024-10-10,sunny,excited,65
8,Montpellier,2024-11-25,sunny,joyful,110
18,Montpellier,2024-12-01,rainy,bored,35
9,Grenoble,2024-12-10,snowy,cold,-15
19,Grenoble,2024-12-15,snowy,calm,20
